card_id,분야,라벨,설명,키워드,출처_공고수,출처_회사
41,데이터사이언스·ML,연구 논문 구현·검증,최신 연구 논문을 분석해 직접 구현하고 성능 검증,논문연구;구현;검증,1,플라스크
42,데이터엔지니어링,데이터 시스템 구축,대용량 데이터 수집·저장·처리 시스템 설계 및 구축,대용량데이터;시스템구축;데이터처리,1,업스테이지
43,데이터엔지니어링,데이터 파이프라인 개발,데이터 이동 경로(ETL) 개발 및 최적화,ETL;파이프라인;데이터흐름,1,업스테이지
44,데이터엔지니어링,데이터 품질 모니터링,데이터 품질 및 처리 성능 지속 모니터링,품질모니터링;성능관리;안정성,1,업스테이지
45,데이터엔지니어링,데이터 저장 구조 설계,데이터 웨어하우스·레이크 등 저장·분석 구조 설계,데이터웨어하우스;데이터레이크;아키텍처,1,업스테이지
46,데이터엔지니어링,분산 시스템 운영,대규모 분산 처리 시스템 운영 및 관리,분산시스템;시스템운영;인프라,1,업스테이지
47,데이터엔지니어링,고객사 데이터 운영,고객사 데이터 분석 및 파이프라인 운영 지원,고객사지원;파이프라인운영;데이터분석,1,업스테이지
48,데이터엔지니어링,품질 평가 프로세스,결과물 품질을 검증하는 평가 절차 수립 및 운영,품질평가;프로세스수립;검증,1,업스테이지
49,데이터엔지니어링,데이터 마트 설계,사업 영역별 데이터 저장소(데이터마트) 설계 및 관리,데이터마트;도메인설계;저장소관리,1,쿠팡
50,데이터엔지니어링,데이터 통합 수집,여러 소스 시스템의 데이터를 한곳으로 통합 수집,데이터통합;수집시스템;소스연동,1,쿠팡
51,데이터엔지니어링,저장소 최적화,데이터 저장 공간 활용을 효율화하는 최적화 작업,저장소최적화;효율화;비용절감,1,쿠팡
52,데이터엔지니어링,안정적 데이터 흐름 지원,신뢰할 수 있는 안정적인 데이터 파이프라인 지원,안정성;신뢰성;파이프라인지원,1,쿠팡
53,데이터엔지니어링,클라우드 분석 환경 구축,클라우드 기반 데이터 분석·모델링 환경 구축 및 운영,클라우드;분석환경;인프라운영,1,무신사
54,데이터엔지니어링,프로덕션 파이프라인 운영,실제 서비스 수준의 데이터 파이프라인 구축 및 운영,프로덕션;파이프라인운영;서비스레벨,1,무신사
55,데이터엔지니어링,데이터 인프라 구축,클라우드 기반 데이터 인프라·플랫폼 구축,클라우드인프라;플랫폼구축,1,당근마켓(당근페이)
56,데이터엔지니어링,분석 환경 제공,데이터 기반 의사결정을 지원하는 분석 환경 제공,분석환경;의사결정지원;데이터플랫폼,1,당근마켓(당근페이)
57,데이터엔지니어링,확장형 아키텍처 설계,데이터 증가에 대응 가능한 확장형 아키텍처 설계,확장성;아키텍처설계;스케일링,1,당근마켓(당근페이)
58,경영·마케팅,콘텐츠 기획·제작,SNS 채널용 콘텐츠 기획·제작 및 성과 분석,콘텐츠기획;SNS마케팅;성과분석,1,히어닷컴코리아
59,경영·마케팅,광고 콘텐츠 최적화,온라인 광고 콘텐츠 기획·제작 및 전환율 최적화,광고콘텐츠;전환율최적화;퍼포먼스마케팅,1,히어닷컴코리아
60,경영·마케팅,성장 전략 실행,목표 고객 확보를 위한 성장 전략 수립 및 실행,성장전략;고객확보;그로스마케팅,1,팀스파르타
61,경영·마케팅,사업 방향 설계,시장 상황과 마케팅 인사이트 기반 비즈니스 방향 설계,사업설계;시장분석;로드맵,1,팀스파르타
62,경영·마케팅,캠페인 성과 분석,채널·캠페인별 성과 데이터 분석으로 광고 효율 개선,캠페인분석;광고효율;성과데이터,1,팀스파르타
63,경영·마케팅,광고 매체 운영,다양한 광고 매체 관리 및 채널 전략 수립,매체운영;채널전략;광고관리,1,팀스파르타
64,경영·마케팅,이탈 구간 개선,사용자 이탈 구간 파악 및 개선 가설 실험,퍼널분석;이탈개선;가설실험,1,팀스파르타
65,경영·영업,서비스 도입 제안,자사 서비스·제품 도입을 제안하는 영업 활동,영업제안;서비스영업;B2B,1,엑스플라이어
66,경영·영업,시장·경쟁사 조사,시장 동향 및 경쟁사 현황 조사,시장조사;경쟁사분석,1,엑스플라이어
67,경영·영업,세일즈 자료 개발,영업용 자료(세일즈 Kit) 개발 및 현장 적용,세일즈자료;영업지원;현장적용,1,엑스플라이어
68,경영·영업,계약 조건 검토,계약 조건 분석 및 리스크 검토,계약검토;조건분석,1,엑스플라이어
69,경영·영업,파트너 관계 관리,신규·기존 파트너와의 관계 관리 및 유지,파트너관리;관계유지;제휴,1,엑스플라이어
70,경영·영업,잠재 고객 개발,신규 잠재 고객 발굴 및 영업 기회 개발,리드발굴;잠재고객;신규영업,1,엑스플라이어
71,경영·경영기획,사업 전략 기획,중장기 사업 전략 수립 및 기획,사업전략;전략기획,1,중앙일보
72,경영·경영기획,경영 계획·성과 관리,경영 계획 수립 및 실적 관리·성과 평가,경영계획;성과관리;실적평가,1,중앙일보
73,경영·경영기획,경영 현황 보고,경영 현황 보고 및 주요 이슈 대응,경영보고;이슈대응,1,중앙일보
74,경영·경영기획,의사결정·자회사 관리,의사결정 체계 운영 및 자회사 관리,의사결정체계;자회사관리;거버넌스,1,중앙일보
